Lang,CurrencyISO,CurrencyName,Money,Symbol
"EN","AFN","Afghani","افغانۍ","؋"
"EN","DZD","Algerian Dinar","دينار","د"
"EN","ARS","Argentine Peso","Peso","$"
"EN","AMD","Armenian Dram","Դրամ","դ"
"EN","AWG","Aruban Guilder","Florijn","A"
"EN","AUD","Australian Dollar","Dollar","$"
"EN","AZN","Azerbaijanian Manat","Manatı","м"
"EN","BSD","Bahamian Dollar","Dollar","B"
"EN","BHD","Bahraini Dinar","دينار","."
"EN","THB","Baht","บาทไทย","฿"
"EN","PAB","Balboa","Balboa","B"
"EN","BBD","Barbados Dollar","Dollar","B"
"EN","BYR","Belarussian Ruble","Рубель","B"
"EN","BZD","Belize Dollar","Dollar","B"
"EN","BMD","Bermudian Dollar","Dollar","B"
"EN","VEF","Bolivar Fuerte","Bolívar","B"
"EN","BOB","Boliviano","Boliviano","B"
"EN","BRL","Brazilian Real","Real","R"
"EN","BND","Brunei Dollar","Ringgit","B"
"EN","BGN","Bulgarian Lev","лев","л"
"EN","BIF","Burundi Franc","Franc","F"
"EN","CAD","Canadian Dollar","Dollar","$"
"EN","CVE","Cape Verde Escudo","Escudo","E"
"EN","KYD","Cayman Islands Dollar","Dollar","$"
"EN","GHS","Cedi","Cedi","G"
"EN","XAF","CFA Franc","Franc","C"
"EN","XOF","CFA Franc","Franc","C"
"EN","XPF","CFP Franc","Franc","F"
"EN","CLP","Chilean Peso","Peso","$"
"EN","CNY","Chinese Yuan","人民币","¥"
"EN","COP","Colombian Peso","Peso","C"
"EN","KMF","Comoro Franc","Franc","F"
"EN","CDF","Congolese Franc","Franc","F"
"EN","BAM","Convertible Marks","Marka","K"
"EN","NIO","Cordoba Oro","Córdoba","C"
"EN","CRC","Costa Rican Colon","Colón","₡"
"EN","HRK","Croatian Kuna","Kuna","k"
"EN","CUP","Cuban Peso","Peso","$"
"EN","CZK","Czech Koruna","Koruna","K"
"EN","GMD","Dalasi","Dalasi","D"
"EN","DKK","Danish Krone","Krone","K"
"EN","MKD","Denar","Денар","д"
"EN","DJF","Djibouti Franc","الفرنك","F"
"EN","STD","Dobra","Dobra","D"
"EN","DOP","Dominican Peso","Peso","R"
"EN","VND","Dong","đồng","₫"
"EN","XCD","East Caribbean Dollar","Dollar","E"
"EN","EGP","Egyptian Pound","الجنيه","£"
"EN","ETB","Ethiopian Birr","Birr","B"
"EN","EUR","Euro","Euro","€"
"EN","FKP","Falkland Islands Pound","Pound","£"
"EN","FJD","Fiji Dollar","Dollar","F"
"EN","GIP","Gibraltar Pound","Pound","£"
"EN","HTG","Gourde","Gourde","G"
"EN","PYG","Guarani","Guaraní","₲"
"EN","GNF","Guinea Franc","Franc","F"
"EN","GWP","Guinea-Bissau Peso","Peso","$"
"EN","GYD","Guyana Dollar","Dollar","G"
"EN","HKD","Hong Kong Dollar","香港圓","H"
"EN","UAH","Hryvnia","Гривня","₴"
"EN","HUF","Hungary Forint","Forint","F"
"EN","ISK","Iceland Krona","Króna","k"
"EN","INR","Indian Rupee","Rupee","R"
"EN","IRR","Iranian Rial","﷼","﷼"
"EN","IQD","Iraqi Dinar","دينار","ع"
"EN","ILS","Israeli Sheqel","שקל","₪"
"EN","JMD","Jamaican Dollar","Dollar","$"
"EN","JPY","Japan Yen","日本円","¥"
"EN","JOD","Jordanian Dinar","دينار","د"
"EN","KES","Kenyan Shilling","Shilling","K"
"EN","PGK","Kina","Kina","K"
"EN","LAK","Kip","ກີບ","₭"
"EN","EEK","Kroon","Kroon","K"
"EN","KWD","Kuwaiti Dinar","دينار","د"
"EN","MWK","Kwacha","Kwacha","M"
"EN","AOA","Kwanza","Kwanza","K"
"EN","MMK","Kyat","Kyat","K"
"EN","GEL","Lari","ლარი","l"
"EN","LVL","Latvian Lats","Lats","L"
"EN","LBP","Lebanese Pound","ليرة,","ل"
"EN","ALL","Lek","Leku","L"
"EN","HNL","Lempira","Lempira","L"
"EN","SLL","Leone","Leone","L"
"EN","LRD","Liberian Dollar","Dollar","L"
"EN","LYD","Libyan Dinar","دينار","ل"
"EN","SZL","Lilangeni","Lilangeni","L"
"EN","LTL","Lithuanian Litas","Litas","L"
"EN","LSL","Loti","Loti","L"
"EN","MGA","Malagasy Ariary","Ariary","F"
"EN","MYR","Malaysian Ringgit","ريڠڬيت","R"
"EN","TMT","Manat","Манат","m"
"EN","MUR","Mauritius Rupee","Roupie","R"
"EN","MZN","Metical","Metical","M"
"EN","MXN","Mexican Peso","Peso","$"
"EN","MDL","Moldovan Leu","Leu","l"
"EN","MAD","Moroccan Dirham","درهم","د"
"EN","NGN","Naira","Naira","₦"
"EN","ERN","Nakfa","Nakfa","N"
"EN","NAD","Namibia Dollar","Dollar","N"
"EN","NPR","Nepalese Rupee","Rupee","N"
"EN","ANG","Netherlands Antillian Guilder","Gulden","N"
"EN","RON","New Leu","Leu","L"
"EN","NZD","New Zealand Dollar","Dollar","$"
"EN","BTN","Ngultrum","དངུལ་ཀྲམ","N"
"EN","KPW","North Korean Won","원","₩"
"EN","NOK","Norwegian Krone","Krone","k"
"EN","PEN","Nuevo Sol","Sol","S"
"EN","MRO","Ouguiya","أوقية","U"
"EN","TOP","Pa'anga","Pa'anga","T"
"EN","PKR","Pakistan Rupee","Rupee","R"
"EN","MOP","Pataca","澳門圓","M"
"EN","UYU","Peso Uruguayo","Peso","$"
"EN","PHP","Philippine Peso","Piso","₱"
"EN","GBP","Pound Sterling","Pound","£"
"EN","BWP","Pula","Pula","P"
"EN","QAR","Qatari Rial","ريال","ر"
"EN","GTQ","Quetzal","Quetzal","Q"
"EN","ZAR","Rand","Rand","R"
"EN","OMR","Rial Omani","ريال","ر"
"EN","KHR","Riel","Riel","r"
"EN","MVR","Rufiyaa","Rufiyaa","R"
"EN","IDR","Rupiah","Rupiah","R"
"EN","RUB","Russian Ruble","Рубль","р"
"EN","RWF","Rwanda Franc","Franc","R"
"EN","SHP","Saint Helena Pound","Pound","£"
"EN","SVC","Salvadoran Colon","Colón","₡"
"EN","SAR","Saudi Riyal","ريال","ر"
"EN","RSD","Serbian Dinar","Динар","д"
"EN","SCR","Seychelles Rupee","Roupie","S"
"EN","SGD","Singapore Dollar","新加坡元","S"
"EN","SBD","Solomon Islands Dollar","Dollar","S"
"EN","KGS","Som","сом","с"
"EN","SOS","Somali Shilling","Shilin","S"
"EN","TJS","Somoni","Сомонӣ","С"
"EN","LKR","Sri Lanka Rupee","Rupee","R"
"EN","SDG","Sudanese Pound","جنيه","£"
"EN","SRD","Surinam Dollar","Dollar","$"
"EN","SEK","Swedish Krona","Krona","k"
"EN","CHF","Swiss Franc","Franc","F"
"EN","SYP","Syrian Pound","الليرة","S"
"EN","TWD","Taiwan Dollar","新臺幣","$"
"EN","BDT","Taka","টাকা","৳"
"EN","WST","Tala","Tālā","W"
"EN","TZS","Tanzanian Shilling","Shilingi","/"
"EN","KZT","Tenge","Теңгесі","〒"
"EN","TTD","Trinidad and Tobago Dollar","Dollar","$"
"EN","MNT","Tugrik","Төгрөг","₮"
"EN","TND","Tunisian Dinar","دينار","د"
"EN","TRY","Turkish Lira","Lirası","T"
"EN","AED","UAE Dirham","درهم","د"
"EN","UGX","Uganda Shilling","Shilling","U"
"EN","USD","US Dollar","Dollar","$"
"EN","UZS","Uzbekistan Sum","Сўм","с"
"EN","VUV","Vatu","Vatu","V"
"EN","KRW","Won","원","₩"
"EN","YER","Yemeni Rial","ريال","ر"
"EN","ZMK","Zambian Kwacha","Kwacha","Z"
"EN","ZWL","Zimbabwe Dollar","Dollar","$"
"EN","PLN","Zloty","Złoty","z"
"ES","AFN","Afghani","افغانۍ","؋"
"ES","THB","Baht","บาทไทย","฿"
"ES","PAB","Balboa","Balboa","B"
"ES","ETB","Birr Etiopía","Birr","B"
"ES","VEF","Bolivar Fuerte","Bolívar","B"
"ES","BOB","Boliviano","Boliviano","B"
"ES","BND","Brunei Dólar","Ringgit","B"
"ES","GHS","Cedi","Cedi","G"
"ES","CRC","Colón Costa Rican","Colón","₡"
"ES","SVC","Colón Salvadoreño","Colón","₡"
"ES","NIO","Cordoba Oro","Córdoba","C"
"ES","DKK","Corona Danesa","Corona","K"
"ES","ISK","Corona Islandia","Corona","k"
"ES","NOK","Corona Noruega","Corona","k"
"ES","SEK","Corona Suiza","Corona","k"
"ES","GMD","Dalasi","Dalasi","D"
"ES","MKD","Dinar","Денар","д"
"ES","DZD","Dinar Algeria","دينار","د"
"ES","BHD","Dinar Bahrainí","دينار","."
"ES","LYD","Dinar de Libia","دينار","ل"
"ES","RSD","Dinar de Serbian","Динар","д"
"ES","TND","Dinar de Tunisia","دينار","د"
"ES","IQD","Dinar Iraqi","دينار","ع"
"ES","JOD","Dinar Jordano","دينار","د"
"ES","KWD","Dinar Kuwaití","دينار","د"
